id;toeic_id;part_id;question_id;status;created_at;updated_at
1;4329;30787;40681;77191;2022-01-28;2022-01-28
2;64855;50461;82814;26676;2022-01-28;2022-01-28
3;81068;94164;98140;9931;2022-01-28;2022-01-28
4;2999;61712;81195;13223;2022-01-28;2022-01-28
5;28923;51497;8767;49678;2022-01-29;2022-01-28
6;86018;98419;39981;73303;2022-01-29;2022-01-28
7;93798;17553;83956;75657;2022-01-29;2022-01-29
8;77066;17012;73532;81769;2022-01-28;2022-01-28
9;19146;9154;69485;41769;2022-01-29;2022-01-28
10;39708;43261;8902;71845;2022-01-28;2022-01-28
