id;paragraph;image;image_content_type;created_at;updated_at
1;functionalities;../fake-data/blob/hipster.png;image/png;2022-01-29;2022-01-29
2;paradigms Profit-focused;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-29
3;open Berkshire;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-28
4;back-end monetize;../fake-data/blob/hipster.png;image/png;2022-01-29;2022-01-28
5;Account copy;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-29
6;Ouguiya high-level;../fake-data/blob/hipster.png;image/png;2022-01-29;2022-01-28
7;invoice;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-29
8;indexing Account;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-28
9;holistic Convertible;../fake-data/blob/hipster.png;image/png;2022-01-29;2022-01-29
10;Borders payment PNG;../fake-data/blob/hipster.png;image/png;2022-01-28;2022-01-28
