id;part;description;example;file_lc;view;test;created_at;updated_at
1;67882;B2C UAE models;up Buckinghamshire Florida;overriding Freeway RAM;85959;64460;2022-01-29;2022-01-28
2;66530;context-sensitive Liaison Jordan;Representative Inverse Buckinghamshire;lime;17463;44736;2022-01-28;2022-01-29
3;34078;Licensed;De-engineered;Graphic;41079;13445;2022-01-29;2022-01-28
4;96397;tan;Wooden Mouse;neural;3654;76985;2022-01-28;2022-01-28
5;71020;hour Cotton Sheqel;Web Progressive;Computer Swaziland;61418;95440;2022-01-28;2022-01-28
6;76844;gold turn-key;Business-focused Baby;deliver;65421;39181;2022-01-29;2022-01-29
7;85944;leverage;Analyst;evolve;64443;92426;2022-01-29;2022-01-29
8;62812;structure AGP;viral;Checking;61732;79019;2022-01-28;2022-01-28
9;7047;International;RAM Falls Nepal;card Movies infomediaries;50548;74106;2022-01-28;2022-01-28
10;98420;infomediaries calculate;Mouse system;payment;87324;67331;2022-01-28;2022-01-28
