id;question;correct;created_at;updated_at
1;extend action-items action-items;green;2022-01-29;2022-01-28
2;content;enable invoice;2022-01-29;2022-01-29
3;deposit;Product virtual;2022-01-28;2022-01-28
4;exuding wireless;Nevada Plastic;2022-01-29;2022-01-28
5;Soft;Maryland Director;2022-01-29;2022-01-28
6;Wooden COM Cambridgeshire;streamline revolutionary;2022-01-29;2022-01-29
7;Data;Tuna quantifying turquoise;2022-01-29;2022-01-29
8;Borders;Industrial;2022-01-29;2022-01-28
9;open-source local;Guilder compressing invoice;2022-01-28;2022-01-28
10;Account;Rubber Montana;2022-01-29;2022-01-28
