id;user_id;score;reading;listening;created_at;updated_at
1;78956;15933;Massachusetts B2B;fuchsia Home magenta;2022-01-28;2022-01-28
2;72290;58676;Solutions Krona Movies;Sausages holistic program;2022-01-29;2022-01-28
3;62890;10719;programming Cotton;Handcrafted;2022-01-28;2022-01-29
4;97799;54080;Berkshire Manager Account;Idaho Buckinghamshire Guatemala;2022-01-29;2022-01-28
5;66986;43564;calculate;XSS;2022-01-28;2022-01-28
6;93946;30666;e-markets programming Cambridgeshire;bricks-and-clicks;2022-01-28;2022-01-29
7;39234;8461;Handcrafted;multi-byte Won;2022-01-29;2022-01-28
8;3835;54046;Plastic parsing Qatar;Fantastic Granite optical;2022-01-29;2022-01-29
9;94595;56174;exuding Prairie;e-enable;2022-01-29;2022-01-28
10;83574;11947;Planner quantifying Plastic;methodologies Sports Namibia;2022-01-28;2022-01-28
