id;name_toeic;number;description;view;test;link_detail;created_at;updated_at
1;Refined;74802;Granite;90761;8412;payment;2022-01-28;2022-01-28
2;Kuwaiti architectures Rhode;70194;Handmade Facilitator;55042;10955;Account Palau;2022-01-28;2022-01-29
3;transmitter quantify back-end;84162;Rubber backing Gorgeous;84631;59781;Central;2022-01-28;2022-01-28
4;deposit Dinar;10116;Internal logistical;40523;15381;Handcrafted Palladium;2022-01-28;2022-01-28
5;programming compressing;28981;Steel;54628;29832;Assistant Keyboard;2022-01-28;2022-01-29
6;drive directional;90954;e-business;4201;61227;e-business target;2022-01-29;2022-01-28
7;mobile interface grid-enabled;42214;Tools Pizza Loan;55231;24918;interfaces emulation Consultant;2022-01-28;2022-01-28
8;Future-proofed;53062;Account payment clicks-and-mortar;61625;40216;Human;2022-01-28;2022-01-28
9;Handcrafted International deposit;89161;Mali;27218;57458;programming HDD synthesizing;2022-01-29;2022-01-28
10;white SDD;45173;Distributed;48577;58178;responsive AI Phased;2022-01-29;2022-01-28
