id;word;mean;created_at;updated_at
1;Baby;Borders circuit interactive;2022-01-28;2022-01-28
2;monitoring Sausages Configurable;web-enabled North;2022-01-29;2022-01-28
3;Pike generating quantifying;national;2022-01-29;2022-01-29
4;red;Reduced;2022-01-28;2022-01-28
5;salmon programming protocol;Mozambique;2022-01-28;2022-01-28
6;Orchestrator neutral Factors;redundant International Infrastructure;2022-01-28;2022-01-28
7;Frozen;Account Florida Internal;2022-01-29;2022-01-29
8;Gloves Group;Auto;2022-01-28;2022-01-28
9;Inlet portals;Tasty deposit hack;2022-01-28;2022-01-28
10;Associate Tuna Mandatory;pixel Quality;2022-01-28;2022-01-29
