id;name_topic;description;view;test;level;created_at;updated_at
1;Lane Applications;application cyan bluetooth;96798;25852;36814;2022-01-28;2022-01-28
2;Designer;Assimilated;35189;3425;47506;2022-01-28;2022-01-28
3;input integrated;circuit;17223;34985;81408;2022-01-28;2022-01-28
4;vortals;Swaziland Car reciprocal;4150;61417;85291;2022-01-28;2022-01-29
5;card;Optimized;25784;80969;12673;2022-01-28;2022-01-29
6;Tonga transmit platforms;Orchestrator Club array;90596;33763;67003;2022-01-29;2022-01-28
7;web-enabled;Strategist;12183;22059;43809;2022-01-29;2022-01-29
8;scalable Leu;Soap Nebraska Wisconsin;28124;40903;52424;2022-01-29;2022-01-29
9;systems;salmon policy;43464;40411;17611;2022-01-28;2022-01-28
10;bypass Credit;Granite engage;5718;68933;62584;2022-01-28;2022-01-28
